metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
MS_Laud_Misc_149_origin_1,manuscript_6959,Laud_Misc,MS_Laud_Misc_149,MS. Laud Misc. 149,manuscript,,MS_Laud_Misc_149,"13th century, beginning; added decoration 13th century, first half English",,,,,"13th century, beginning; added decoration 13th century, first half",,1200,1250,,Gregorian,English,English,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_150_origin_1,manuscript_6960,Laud_Misc,MS_Laud_Misc_150,MS. Laud Misc. 150,manuscript,,MS_Laud_Misc_150,"12th century, end German,",,,,,"12th century, end",,1190,1200,,Gregorian,"German,",German,place_7000084,51.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_151_origin_1,manuscript_6961,Laud_Misc,MS_Laud_Misc_151,MS. Laud Misc. 151,manuscript,,MS_Laud_Misc_151,"13th century, second quarter English",,,,,"13th century, second quarter",,1225,1250,,Gregorian,English,English,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_153_origin_1,manuscript_6962,Laud_Misc,MS_Laud_Misc_153,MS. Laud Misc. 153,manuscript,,MS_Laud_Misc_153,"German 12th century, third quarter",,,,,"12th century, third quarter",,1150,1175,,Gregorian,German,German,place_7000084,51.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_155a_origin_1,manuscript_6963,Laud_Misc,MS_Laud_Misc_155a,MS. Laud Misc. 155a,manuscript,,MS_Laud_Misc_155a,"11th century, end, or 12th century, early German, Lotharingia (according to Pächt and Alexander)",,,,,"11th century, end, or 12th century, early",,1090,1110,,Gregorian,"German, Lotharingia (according to Pächt and Alexander)",German,place_7000084,51.5,10.5,Lotharingia (according to Pächt and Alexander),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_155b_origin_1,manuscript_6964,Laud_Misc,MS_Laud_Misc_155b,MS. Laud Misc. 155b,manuscript,,MS_Laud_Misc_155b,"German, Würzburg (St. Kylian (?)) 12th century, second half",,,,,"12th century, second half",,1150,1200,,Gregorian,"German, Würzburg (St. Kylian (?))",German,place_7000084,51.5,10.5,,,,,Würzburg,place_7004335,49.787778,9.936111,St. Kylian,org_148998848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_156_origin_1,manuscript_6965,Laud_Misc,MS_Laud_Misc_156,MS. Laud Misc. 156,manuscript,,MS_Laud_Misc_156,"15th century, beginning English",,,,,"15th century, beginning",,1400,1410,,Gregorian,English,English,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_157_origin_1,manuscript_6966,Laud_Misc,MS_Laud_Misc_157,MS. Laud Misc. 157,manuscript,,MS_Laud_Misc_157,"Germany, Würzburg, St. Kilian c. 1000","decoration, 11th century, late",,,,c. 1000,,990,1010,,Gregorian,"Germany, Würzburg, St. Kilian",Germany,place_7000084,51.5,10.5,,,,,Würzburg,place_7004335,49.787778,9.936111,St. Kilian,org_148998848,,,"decoration, 11th century, late",,1090,1100,,Gregorian,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_158_origin_1,manuscript_6967,Laud_Misc,MS_Laud_Misc_158,MS. Laud Misc. 158,manuscript,,MS_Laud_Misc_158,"12th century, second half German",,,,,"12th century, second half",,1150,1200,,Gregorian,German,German,place_7000084,51.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_159_origin_1,manuscript_6968,Laud_Misc,MS_Laud_Misc_159,MS. Laud Misc. 159,manuscript,,MS_Laud_Misc_159,"Lorsch Abbey 9th century, 2nd quarter Katalog der festländischen Handschriften des neunten Jahrhunderts Codex de monasterio sancti Nazarii",,,,,"9th century, 2nd quarter",,825,850,,Gregorian,Lorsch Abbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
